run_id,n_customers,stage,duration_s,peak_rss_mb,rows,started_at
20260812014817410716,,train_initial:load,0.1908,155.03,721,2026-08-12T01:48:17.410747
20260812014817410716,500,train_initial:feature,1.5177,164.38,721,2026-08-12T01:48:17.603410
20260812014817410716,500,train_initial:train,3.2787,168.69,721,2026-08-12T01:48:19.121454
20260812014817410716,500,train_initial:register,0.008,168.69,,2026-08-12T01:48:22.402109
20260812014823731701,,train_self_cure:load,0.1714,156.62,721,2026-08-12T01:48:23.731726
20260812014823731701,500,train_self_cure:feature,1.4106,167.75,416,2026-08-12T01:48:23.903600
20260812014823731701,500,train_self_cure:train,1.5919,177.0,416,2026-08-12T01:48:25.314513
20260812014823731701,500,train_self_cure:register,0.0063,177.11,,2026-08-12T01:48:26.907552
20260812014828271938,,train_roll_forward:load,0.1772,157.64,721,2026-08-12T01:48:28.271963
20260812014828271938,500,train_roll_forward:feature,1.5424,168.83,427,2026-08-12T01:48:28.449683
20260812014828271938,500,train_roll_forward:train,2.5633,172.27,427,2026-08-12T01:48:29.992357
20260812014828271938,500,train_roll_forward:register,0.0062,172.27,,2026-08-12T01:48:32.557236
20260812014833718216,,train_ptp_success:load,0.1649,155.78,721,2026-08-12T01:48:33.718241
20260812014833718216,500,train_ptp_success:feature,1.4127,165.5,629,2026-08-12T01:48:33.883607
20260812014833718216,500,train_ptp_success:train,2.315,178.38,629,2026-08-12T01:48:35.296650
20260812014833718216,500,train_ptp_success:register,0.0059,178.52,,2026-08-12T01:48:37.612888
20260812014838223228,,load_contract,0.06,84.92,690,2026-08-12T01:48:38.223249
20260812014838223228,485,load_payment,0.0232,91.38,6923,2026-08-12T01:48:38.283463
20260812014838223228,485,load_lkp,0.0587,105.83,15480,2026-08-12T01:48:38.306876
20260812014838223228,485,load_cbs,0.0041,105.83,0,2026-08-12T01:48:38.365850
20260812014838223228,485,feature_contract,0.4932,113.67,690,2026-08-12T01:48:38.370081
20260812014838223228,485,cbs_bootstrap,0.9283,114.27,485,2026-08-12T01:48:38.863666
20260812014838223228,485,enrich_and_fill,0.0054,114.27,690,2026-08-12T01:48:39.792166
20260812014838223228,485,score_contracts,0.6204,165.16,690,2026-08-12T01:48:39.797694
20260812014838223228,485,confidence_level,0.0051,165.17,690,2026-08-12T01:48:40.418318
20260812014838223228,485,business_rules,0.0147,165.23,690,2026-08-12T01:48:40.423519
20260812014838223228,485,restructuring_assessment,0.7881,171.72,,2026-08-12T01:48:40.438427
20260812014838223228,485,quality_check,0.0035,171.72,,2026-08-12T01:48:41.226735
20260812014838223228,485,persist_output,0.0367,171.72,,2026-08-12T01:48:41.230408
20260812020904550705,,load_contract,0.0719,84.72,690,2026-08-12T02:09:04.550733
20260812020904550705,485,load_payment,0.0248,91.2,6923,2026-08-12T02:09:04.622957
20260812020904550705,485,load_lkp,0.0573,106.48,15480,2026-08-12T02:09:04.648003
20260812020904550705,485,load_cbs,0.0087,106.48,485,2026-08-12T02:09:04.705596
20260812020904550705,485,feature_contract,0.5037,115.61,690,2026-08-12T02:09:04.714548
20260812020904550705,485,enrich_and_fill,0.0065,115.83,690,2026-08-12T02:09:05.218665
20260812020904550705,485,score_contracts,0.9498,167.39,690,2026-08-12T02:09:05.225308
20260812020904550705,485,confidence_level,0.0052,167.39,690,2026-08-12T02:09:06.175440
20260812020904550705,485,business_rules,0.0148,167.47,690,2026-08-12T02:09:06.180888
20260812020904550705,485,restructuring_assessment,0.8952,174.27,,2026-08-12T02:09:06.195886
20260812020904550705,485,quality_check,0.0033,174.27,,2026-08-12T02:09:07.091425
20260812020904550705,485,persist_output,0.0418,174.27,,2026-08-12T02:09:07.094905
20260812021035530461,,load_contract,0.0728,84.44,690,2026-08-12T02:10:35.530488
20260812021035530461,485,load_payment,0.0252,91.08,6923,2026-08-12T02:10:35.603633
20260812021035530461,485,load_lkp,0.0601,106.14,15480,2026-08-12T02:10:35.629125
20260812021035530461,485,load_cbs,0.0193,106.14,485,2026-08-12T02:10:35.689485
20260812021035530461,485,feature_contract,0.5852,113.67,690,2026-08-12T02:10:35.710263
20260812021035530461,485,enrich_and_fill,0.0064,113.77,690,2026-08-12T02:10:36.295797
