contract_no,cust_id,snapshot_date_d0,snapshot_date_dn,risk_segment_d0,risk_segment_dn,recovery_score_d0,recovery_score_dn,dpd_current_d0,dpd_current_dn,nba_recommendation_d0,nba_recommendation_dn,priority_level_d0,priority_level_dn,total_ots_d0,total_ots_dn,recovery_score_delta,dpd_delta,segment_changed,nba_changed
CTR-00001-1,CUST-00001,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6657,0.8141,615,645,Deskcoll,Deskcoll,Medium,Medium,6896000.0,6896000.0,0.1484000000000001,30,False,False
CTR-00001-2,CUST-00001,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3578,0.8883,687,717,Visit,Deskcoll,Medium,Low,3780000.0,3780000.0,0.5305,30,True,True
CTR-00002-1,CUST-00002,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.304,0.2499,310,340,Visit,Somasi,High,Critical,6149000.0,5590000.0,-0.05409999999999998,30,True,True
CTR-00002-2,CUST-00002,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2674,0.2952,0,12,Visit,Visit,High,High,4008000.0,4008000.0,0.02779999999999999,12,False,False
CTR-00003-1,CUST-00003,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3986,0.381,202,232,Visit,Visit,Critical,Critical,56280000.0,48240000.0,-0.017600000000000005,30,False,False
CTR-00004-1,CUST-00004,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4938,0.4484,459,489,Visit,Visit,Critical,Critical,25410000.0,21175000.0,-0.045399999999999996,30,False,False
CTR-00004-2,CUST-00004,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4185,0.4806,267,297,Visit,Visit,High,High,18452000.0,17134000.0,0.062100000000000044,30,False,False
CTR-00005-1,CUST-00005,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1109,0.093,585,615,Somasi,Somasi,Critical,Critical,13032000.0,13032000.0,-0.0179,30,False,False
CTR-00005-2,CUST-00005,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0548,0.1199,219,249,Somasi,Somasi,Critical,Critical,15456000.0,15456000.0,0.0651,30,False,False
CTR-00005-3,CUST-00005,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0608,0.0439,377,407,Somasi,Somasi,Critical,Critical,9288000.0,9288000.0,-0.0169,30,False,False
CTR-00006-1,CUST-00006,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.434,0.5882,449,479,Visit,Visit,Medium,Low,4560000.0,4560000.0,0.15419999999999995,30,True,False
CTR-00006-2,CUST-00006,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4695,0.4271,239,269,Visit,Visit,High,High,12110000.0,12110000.0,-0.04239999999999999,30,False,False
CTR-00007-1,CUST-00007,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5182,0.3054,133,163,Deskcoll,Visit,Medium,High,9009000.0,8316000.0,-0.2128,30,True,True
CTR-00008-1,CUST-00008,2026-08-01,2026-08-31,Can Pay,Can Pay,0.1282,0.1694,1,0,WA,WA,High,High,37840000.0,30960000.0,0.04119999999999999,-1,False,False
CTR-00008-2,CUST-00008,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3351,0.2186,135,165,Visit,WA,Critical,Critical,53360000.0,42688000.0,-0.11650000000000002,30,True,True
CTR-00008-3,CUST-00008,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6023,0.519,367,397,Deskcoll,Deskcoll,High,High,30670000.0,27603000.0,-0.08329999999999993,30,False,False
CTR-00009-1,CUST-00009,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4384,0.3496,528,558,Visit,Visit,High,High,11748000.0,10680000.0,-0.08879999999999999,30,False,False
CTR-00010-1,CUST-00010,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2694,0.164,373,403,Pickup,Pickup,Critical,Critical,27094000.0,25668000.0,-0.10539999999999997,30,False,False
CTR-00010-2,CUST-00010,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5312,0.585,437,467,Deskcoll,Deskcoll,Critical,High,26068000.0,24206000.0,0.05379999999999996,30,False,False
CTR-00011-1,CUST-00011,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1228,0.0856,724,754,Somasi,Somasi,Critical,Critical,27853000.0,26642000.0,-0.03720000000000001,30,False,False
